technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time
sift_cropped;Pixel 3;Pixel 3a XL;170;52;167;51;28;2690
sift_cropped;Pixel 3;Nexus 6 ;170;52;160;51;23;1760
sift_cropped;Pixel 3;Nexus 6p;170;52;154;50;21;1770
sift_cropped;Pixel 3;Pixel 2;170;52;155;51;21;1470
sift_cropped;Pixel 3;Pixel 3;170;52;169;52;30;1610
sift_cropped;Pixel 3;Pixel 3A;170;52;157;51;28;1490
surf_cropped;Nexus5;Nexus5;170;52;165;51;27;1140
surf_cropped;Nexus5;Nexus5x;170;52;160;39;22;1140
surf_cropped;Nexus5;Pixel 2xl;170;52;165;38;27;1600
surf_cropped;Nexus5;Pixel;170;52;162;40;24;1360
surf_cropped;Nexus5;Pixel XL;170;52;160;38;24;1670
surf_cropped;Nexus5;Pixel 3XL;170;52;165;40;26;1780
surf_cropped;Nexus5;Nexus 4;170;52;143;40;15;960
surf_cropped;Nexus5;Nexus S;167;50;136;50;10;850
surf_cropped;Nexus5;Pixel 3a XL;170;52;156;38;19;2190
surf_cropped;Nexus5;Nexus 6 ;170;52;159;37;22;1430
surf_cropped;Nexus5;Nexus 6p;170;52;158;37;24;1370
surf_cropped;Nexus5;Pixel 2;170;52;165;35;22;1310
surf_cropped;Nexus5;Pixel 3;170;52;158;42;21;1370
surf_cropped;Nexus5;Pixel 3A;170;52;163;46;25;1300
surf_cropped;Nexus S;Nexus5;167;50;153;45;19;1940
surf_cropped;Nexus S;Nexus5x;167;50;147;39;12;1330
surf_cropped;Nexus S;Pixel 2xl;167;50;144;38;12;1750
surf_cropped;Nexus S;Pixel;167;50;149;40;13;1100
surf_cropped;Nexus S;Pixel XL;167;50;144;38;13;1390
surf_cropped;Nexus S;Pixel 3XL;167;50;146;40;12;1600
surf_cropped;Nexus S;Nexus 4;167;50;133;40;8;1020
surf_cropped;Nexus S;Nexus S;167;50;150;50;12;1300
surf_cropped;Nexus S;Pixel 3a XL;167;50;155;38;19;1130
surf_cropped;Nexus S;Nexus 6 ;167;50;131;37;9;1590
surf_cropped;Nexus S;Nexus 6p;167;50;135;37;7;1710
surf_cropped;Nexus S;Pixel 2;167;50;138;35;11;1160
surf_cropped;Nexus S;Pixel 3;167;50;153;42;17;1150
surf_cropped;Nexus S;Pixel 3A;167;50;155;46;6;1210
surf_cropped;Pixel 3;Nexus5;170;52;157;50;21;620
surf_cropped;Pixel 3;Nexus5x;170;52;165;52;26;580
surf_cropped;Pixel 3;Pixel 2xl;170;52;160;46;23;1410
surf_cropped;Pixel 3;Pixel;170;52;165;51;26;540
surf_cropped;Pixel 3;Pixel XL;170;52;161;50;22;860
surf_cropped;Pixel 3;Pixel 3XL;170;52;163;49;25;910
surf_cropped;Pixel 3;Nexus 4;170;52;140;41;9;400
surf_cropped;Pixel 3;Nexus S;167;50;138;37;9;260
surf_cropped;Pixel 3;Pixel 3a XL;170;52;165;49;21;560
surf_cropped;Pixel 3;Nexus 6 ;170;52;165;50;26;880
surf_cropped;Pixel 3;Nexus 6p;170;52;158;50;24;900
surf_cropped;Pixel 3;Pixel 2;170;52;159;50;24;590
surf_cropped;Pixel 3;Pixel 3;170;52;161;52;24;600
surf_cropped;Pixel 3;Pixel 3A;170;52;160;52;26;780
akaze_fullscreen;Nexus5;Nexus5;170;52;167;52;30;1410
akaze_fullscreen;Nexus5;Nexus5x;170;52;166;49;27;1190
akaze_fullscreen;Nexus5;Pixel 2xl;170;52;160;50;21;1780
akaze_fullscreen;Nexus5;Pixel;170;52;166;49;27;1120
akaze_fullscreen;Nexus5;Pixel XL;170;52;163;51;24;1540
akaze_fullscreen;Nexus5;Pixel 3XL;170;52;159;50;20;1690
akaze_fullscreen;Nexus5;Nexus 4;170;52;163;49;25;960
akaze_fullscreen;Nexus5;Nexus S;167;50;108;32;3;760
akaze_fullscreen;Nexus5;Pixel 3a XL;170;52;158;51;26;1210
akaze_fullscreen;Nexus5;Nexus 6 ;170;52;163;51;24;1740
akaze_fullscreen;Nexus5;Nexus 6p;170;52;155;49;21;1640
akaze_fullscreen;Nexus5;Pixel 2;170;52;159;47;25;1210
akaze_fullscreen;Nexus5;Pixel 3;170;52;166;49;27;1260
akaze_fullscreen;Nexus5;Pixel 3A;170;52;165;49;26;1320
akaze_fullscreen;Nexus S;Nexus5;167;50;162;49;25;650
akaze_fullscreen;Nexus S;Nexus5x;167;50;157;46;19;630
akaze_fullscreen;Nexus S;Pixel 2xl;167;50;135;46;21;1110
akaze_fullscreen;Nexus S;Pixel;167;50;157;46;19;650
akaze_fullscreen;Nexus S;Pixel XL;167;50;157;44;24;990
akaze_fullscreen;Nexus S;Pixel 3XL;167;50;157;45;21;1100
akaze_fullscreen;Nexus S;Nexus 4;167;50;161;46;25;400
akaze_fullscreen;Nexus S;Nexus S;167;50;168;50;29;280
akaze_fullscreen;Nexus S;Pixel 3a XL;167;50;130;44;1;710
akaze_fullscreen;Nexus S;Nexus 6 ;167;50;157;45;20;1020
akaze_fullscreen;Nexus S;Nexus 6p;167;50;150;44;21;980
akaze_fullscreen;Nexus S;Pixel 2;167;50;151;45;25;620
